Symbol,CPR_VALUE
ACC,4.5
AUBANK,0.85
ADANIENSOL,4.5
ADANIENT,7
ADANIGREEN,6.5
ADANIPORTS,5
ATGL,5
ABCAPITAL,1
ABFRL,1.1
ALKEM,18
AMBUJACEM,1.5
APOLLOHOSP,15
APOLLOTYRE,1.55
ASHOKLEY,0.2
ASIANPAINT,5.5
ASTRAL,5.5
AUROPHARMA,5
DMART,6
AXISBANK,3
BAJAJ-AUTO,18.5
BAJFINANCE,14.5
BAJAJFINSV,3.2
BALKRISIND,5.5
BANDHANBNK,2
BANKBARODA,0.8
BANKINDIA,1
BERGEPAINT,2
BDL,6.5
BEL,0.35
BHARATFORG,2.5
BHEL,1.25
BPCL,1.8
BHARTIARTL,2.5
BIOCON,1
BOSCHLTD,60
BRITANNIA,7
CGPOWER,1.5
CANBK,1.8
CHOLAFIN,6
CIPLA,2.4
COALINDIA,1.55
COFORGE,25
COLPAL,5.5
CONCOR,2.5
COROMANDEL,3
CROMPTON,0.9
CUMMINSIND,10
DLF,2
DABUR,1
DALBHARAT,7.5
DEEPAKNTR,5.5
DELHIVERY,1.5
DIVISLAB,6.5
DIXON,12.5
LALPATHLAB,4
DRREDDY,13
EICHERMOT,9.45
ESCORTS,8.5
FEDERALBNK,0.5
FACT,2.5
FORTIS,1.5
GAIL,0.7
GODREJCP,4.5
GODREJPROP,9
GRASIM,5.9
GUJGASLTD,2
HCLTECH,4.5
HDFCAMC,7.5
HDFCBANK,4.5
HDFCLIFE,1.5
HAVELLS,5
HEROMOTOCO,13
HINDALCO,2
HAL,6.5
HINDPETRO,2.7
HINDUNILVR,2.3
ICICIBANK,1.8
ICICIGI,3.8
ICICIPRULI,1.25
IDFCFIRSTB,0.15
ITC,0.5
INDHOTEL,1.5
IOC,1.5
IRCTC,3.5
IRFC,1.25
IGL,2.5
INDUSTOWER,1.15
INDUSINDBK,2.8
NAUKRI,13
INFY,2.5
IPCALAB,6.5
JSWENERGY,1.5
JSWSTEEL,1.5
JINDALSTEL,2.4
JUBLFOOD,1.5
KPITTECH,6.5
KOTAKBANK,4.5
L&TFH,0.6
LTTS,11
LICHSGFIN,1.85
LTIM,15
LT,10
LAURUSLABS,1
LICI,4.5
LUPIN,2.55
LODHA,10
M&MFIN,2.5
M&M,6.5
MARICO,0.98
MFSL,3.5
MAXHEALTH,4
MAZDOCK,4.55
MPHASIS,8
MUTHOOTFIN,4.55
NHPC,0.55
NMDC,0.7
NTPC,0.85
NAVINFLUOR,6.5
NESTLEIND,3.5
OBEROIRLTY,4.5
ONGC,0.75
OIL,2.5
PERSISTENT,17
PETRONET,0.5
PIDILITIND,6
PEL,4.5
POLYCAB,15
POONAWALLA,2
PFC,0.95
POWERGRID,1.5
PNB,0.6
RECLTD,2.25
RVNL,1.5
RELIANCE,4.45
SBICARD,1.4
SBILIFE,2.55
SRF,3.5
MOTHERSON,0.35
SHREECEM,35
SHRIRAMFIN,8
SIEMENS,8.5
SBIN,1.9
SAIL,0.3
SUNPHARMA,2.2
SUNTV,2.67
SYNGENE,1.5
TVSMOTOR,6.5
TATACHEM,6.5
TATACOMM,5.5
TCS,9
TATACONSUM,2.25
TATAELXSI,10
TATAMTRDVR,1.55
TATAMOTORS,2.25
TATAPOWER,2.55
TATASTEEL,0.35
TECHM,2
RAMCOCEM,2.45
TITAN,8
TORNTPHARM,5
TRENT,20
TIINDIA,11.5
UPL,2.2
ULTRACEMCO,21
UNIONBANK,0.13
UBL,2.6
MCDOWELL-N,1.9
VBL,4.25
VEDL,0.3
VOLTAS,4
WIPRO,1.8
ZEEL,1.5
ZOMATO,0.5
ZYDUSLIFE,1.35
UPL,100
ULTRACEMCO,100
UNIONBANK,100
UBL,100
MCDOWELL-N,100
VBL,100
VEDL,100
VOLTAS,100
WIPRO,100
ZEEL,100
ZOMATO,100
ZYDUSLIFE,100
