Symbol,ScripCode,Bottom Central,Top Central,Difference,TradingEnabled,TimeFrame,TradeType,NoOfCounterTrade,CandleRangePts,OpeningDistance,Risk,Volume,TargetMultiplier,BreakEvenMultiplier,USE_CLOSING_CRITERIA,ClosePercentage,StartTime,StopTime
ACC,22,2436.575,2441.158333,4.583333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ADANIENSOL,10217,1001.225,1007.075,5.85,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ABCAPITAL,21614,172.75,173.15,0.4,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ABFRL,30108,207.8,208.8,1,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ASIANPAINT,236,2841.625,2843.875,2.25,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BAJFINANCE,317,6505.55,6501.85,3.7,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BANKBARODA,4668,255.05,255.2833333,0.233333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BANKINDIA,4745,133.275,133.0916667,0.183333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BEL,383,189.525,189.975,0.45,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BHARTIARTL,10604,1222.875,1224.958333,2.083333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BIOCON,11373,251.15,250.6833333,0.466666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
GAIL,4717,175.575,175.9916667,0.416666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
HDFCBANK,1333,1445.9,1445.966667,0.066666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
HDFCLIFE,467,632.4,632.0333333,0.366666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
HEROMOTOCO,1348,4555.025,4546.108333,8.916666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
HINDALCO,1363,531.275,531.8916667,0.616666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
INDHOTEL,1512,553.975,554.3916667,0.416666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
IOC,1624,161.7,161.4,0.3,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
INDUSTOWER,29135,248.425,248.9083333,0.483333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
INDUSINDBK,5258,1478.95,1480.916667,1.966666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ONGC,2475,260.3,261.5,1.2,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
OIL,17438,544.175,545.325,1.15,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
PEL,2412,820.05,818.6833333,1.366666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
SBILIFE,21808,1490.875,1490.291667,0.583333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
SBIN,3045,730,731.6333333,1.633333333,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
TVSMOTOR,8479,2039.9,2038,1.9,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
MCDOWELL-N,10447,1108.375,1109.625,1.25,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
VBL,18921,1434.75,1436.25,1.5,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
ZYDUSLIFE,7929,991.5,991.6666667,0.166666667,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
BPCL,526,586.55,583.85,2.7,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
CANBK,10794,550.55,553.15,2.6,TRUE,1m,BOTH,3,30,200,1000,10000,3,2,TRUE,80,11:13,15:00
