Symbol,Datetime,ScripCode,CPR_VALUE,high,low,close,Pivot,Bottom Central,Top Central,Difference,TradingEnabled
AUBANK,2024-03-15 09:15:00,21238,0.85,587.3,575.1,580.25,580.8833333333333,581.2,580.5666666666666,0.6333333333334394,True
ADANIGREEN,2024-03-15 09:15:00,3563,6.5,1944.95,1870.45,1900.95,1905.45,1907.7,1903.2,4.5,True
ABFRL,2024-03-15 09:15:00,30108,1.1,212.65,201.0,207.8,207.15,206.825,207.47500000000002,0.6500000000000341,True
APOLLOHOSP,2024-03-15 09:15:00,157,15.0,6030.85,5941.6,6002.3,5991.583333333333,5986.225,5996.941666666666,10.716666666665333,True
ASHOKLEY,2024-03-15 09:15:00,212,0.2,164.85,160.25,162.25,162.45000000000002,162.55,162.35000000000002,0.19999999999998863,True
AUROPHARMA,2024-03-15 09:15:00,275,5.0,1015.8,984.3,1000.75,1000.2833333333333,1000.05,1000.5166666666667,0.466666666666697,True
BAJFINANCE,2024-03-15 09:15:00,317,14.5,6578.0,6360.0,6486.65,6474.883333333334,6469.0,6480.766666666668,11.766666666668243,True
BALKRISIND,2024-03-15 09:15:00,335,5.5,2286.15,2233.0,2259.25,2259.4666666666667,2259.575,2259.3583333333336,0.21666666666624224,True
BANDHANBNK,2024-03-15 09:15:00,2263,2.0,186.0,179.1,183.95,183.01666666666665,182.55,183.4833333333333,0.9333333333332803,True
BANKBARODA,2024-03-15 09:15:00,4668,0.8,261.5,250.15,254.8,255.48333333333335,255.825,255.1416666666667,0.6833333333332803,True
BHEL,2024-03-15 09:15:00,438,1.25,227.7,207.1,217.2,217.33333333333334,217.39999999999998,217.2666666666667,0.1333333333332689,True
BRITANNIA,2024-03-15 09:15:00,547,7.0,5008.7,4912.0,4965.95,4962.216666666667,4960.35,4964.083333333334,3.733333333333576,True
CHOLAFIN,2024-03-15 09:15:00,685,6.0,1086.0,1055.65,1063.45,1068.3666666666668,1070.825,1065.9083333333335,4.916666666666515,True
CIPLA,2024-03-15 09:15:00,694,2.4,1496.2,1466.05,1483.2,1481.8166666666666,1481.125,1482.5083333333332,1.383333333333212,True
COALINDIA,2024-03-15 09:15:00,20374,1.55,428.05,401.2,415.5,414.9166666666667,414.625,415.20833333333337,0.5833333333333712,True
COROMANDEL,2024-03-15 09:15:00,739,3.0,1110.0,1059.75,1084.0,1084.5833333333333,1084.875,1084.2916666666665,0.5833333333334849,True
CUMMINSIND,2024-03-15 09:15:00,1901,10.0,2737.1,2678.5,2702.45,2706.016666666667,2707.8,2704.2333333333336,3.566666666666606,True
DABUR,2024-03-15 09:15:00,772,1.0,530.35,524.25,527.0,527.1999999999999,527.3,527.0999999999999,0.20000000000004547,True
DALBHARAT,2024-03-15 09:15:00,8075,7.5,1893.9,1854.7,1878.9,1875.8333333333333,1874.3000000000002,1877.3666666666663,3.0666666666661513,True
DEEPAKNTR,2024-03-15 09:15:00,19943,5.5,2123.55,2080.0,2105.3,2102.9500000000003,2101.775,2104.1250000000005,2.350000000000364,True
DRREDDY,2024-03-15 09:15:00,881,13.0,6308.55,6214.5,6280.45,6267.833333333333,6261.525,6274.141666666666,12.616666666666788,True
EICHERMOT,2024-03-15 09:15:00,910,9.45,3779.95,3707.05,3747.5,3744.8333333333335,3743.5,3746.166666666667,2.66666666666697,True
GODREJCP,2024-03-15 09:15:00,10099,4.5,1223.8,1203.7,1207.0,1211.5,1213.75,1209.25,4.5,True
HDFCBANK,2024-03-15 09:15:00,1333,4.5,1459.3,1442.25,1454.45,1452.0,1450.775,1453.225,2.449999999999818,True
HAL,2024-03-15 09:15:00,2303,6.5,3182.55,3006.0,3099.05,3095.866666666667,3094.275,3097.4583333333335,3.183333333333394,True
HINDPETRO,2024-03-15 09:15:00,1406,2.7,489.85,451.15,468.5,469.8333333333333,470.5,469.16666666666663,1.3333333333333712,True
HINDUNILVR,2024-03-15 09:15:00,1394,2.3,2336.95,2315.9,2327.7,2326.85,2326.425,2327.2749999999996,0.8499999999994543,True
IOC,2024-03-15 09:15:00,1624,1.5,168.7,153.6,161.4,161.23333333333332,161.14999999999998,161.31666666666666,0.16666666666668561,True
IGL,2024-03-15 09:15:00,11262,2.5,414.0,404.0,411.0,409.6666666666667,409.0,410.33333333333337,1.3333333333333712,True
INDUSTOWER,2024-03-15 09:15:00,29135,1.15,252.4,241.2,247.25,246.95000000000002,246.8,247.10000000000002,0.30000000000001137,True
NAUKRI,2024-03-15 09:15:00,13751,13.0,5280.0,5161.3,5240.0,5227.099999999999,5220.65,5233.549999999999,12.899999999999636,True
INFY,2024-03-15 09:15:00,1594,2.5,1645.8,1618.35,1631.0,1631.7166666666665,1632.0749999999998,1631.3583333333331,0.716666666666697,True
IPCALAB,2024-03-15 09:15:00,1633,6.5,1194.9,1143.9,1165.25,1168.0166666666667,1169.4,1166.6333333333332,2.766666666666879,True
JSWSTEEL,2024-03-15 09:15:00,11723,1.5,790.2,774.55,782.05,782.2666666666668,782.375,782.1583333333335,0.2166666666664696,True
JUBLFOOD,2024-03-15 09:15:00,18096,1.5,453.25,439.9,447.4,446.84999999999997,446.575,447.12499999999994,0.5499999999999545,True
KOTAKBANK,2024-03-15 09:15:00,1922,4.5,1756.0,1721.2,1734.0,1737.0666666666666,1738.6,1735.5333333333333,3.066666666666606,True
LICHSGFIN,2024-03-15 09:15:00,1997,1.85,594.75,575.25,583.0,584.3333333333334,585.0,583.6666666666667,1.3333333333332575,True
LTIM,2024-03-15 09:15:00,17818,15.0,5249.95,5170.0,5194.0,5204.650000000001,5209.975,5199.325000000001,10.649999999999636,True
M&MFIN,2024-03-15 09:15:00,13285,2.5,269.7,260.1,261.85,263.8833333333333,264.9,262.8666666666667,2.033333333333303,True
MPHASIS,2024-03-15 09:15:00,4503,8.0,2502.0,2455.85,2482.1,2479.9833333333336,2478.925,2481.041666666667,2.116666666666788,True
NMDC,2024-03-15 09:15:00,15332,0.7,204.5,190.35,197.0,197.28333333333333,197.425,197.14166666666665,0.28333333333335986,True
NTPC,2024-03-15 09:15:00,11630,0.85,326.05,305.75,315.65,315.81666666666666,315.9,315.73333333333335,0.16666666666662877,True
OBEROIRLTY,2024-03-15 09:15:00,20242,4.5,1343.95,1297.25,1320.0,1320.3999999999999,1320.6,1320.1999999999998,0.40000000000009095,True
OIL,2024-03-15 09:15:00,17438,2.5,588.7,513.0,549.95,550.5500000000001,550.85,550.2500000000001,0.599999999999909,True
PETRONET,2024-03-15 09:15:00,11351,0.5,269.6,258.05,264.5,264.05,263.82500000000005,264.275,0.4499999999999318,True
PIDILITIND,2024-03-15 09:15:00,2664,6.0,2894.0,2819.0,2856.95,2856.65,2856.5,2856.8,0.3000000000001819,True
POONAWALLA,2024-03-15 09:15:00,11403,2.0,471.2,452.15,463.4,462.25,461.67499999999995,462.82500000000005,1.150000000000091,True
POWERGRID,2024-03-15 09:15:00,14977,1.5,272.0,257.65,265.5,265.05,264.825,265.27500000000003,0.4500000000000455,True
PNB,2024-03-15 09:15:00,10666,0.6,121.25,114.9,118.0,118.05,118.075,118.02499999999999,0.05000000000001137,True
RECLTD,2024-03-15 09:15:00,15355,2.25,466.5,430.35,446.0,447.6166666666666,448.425,446.8083333333332,1.616666666666788,True
SBICARD,2024-03-15 09:15:00,17971,1.4,704.65,696.0,698.9,699.85,700.325,699.375,0.9500000000000455,True
SRF,2024-03-15 09:15:00,3273,3.5,2449.9,2404.4,2428.0,2427.4333333333334,2427.15,2427.7166666666667,0.566666666666606,True
MOTHERSON,2024-03-15 09:15:00,4204,0.35,113.6,109.35,111.65,111.53333333333335,111.475,111.5916666666667,0.11666666666670267,True
SIEMENS,2024-03-15 09:15:00,3150,8.5,4820.6,4682.1,4755.05,4752.583333333333,4751.35,4753.816666666666,2.4666666666653327,True
SBIN,2024-03-15 09:15:00,3045,1.9,746.55,723.0,732.1,733.8833333333333,734.775,732.9916666666667,1.783333333333303,True
SUNTV,2024-03-15 09:15:00,13404,2.67,598.95,580.65,588.05,589.2166666666666,589.8,588.6333333333332,1.1666666666667425,True
TATACHEM,2024-03-15 09:15:00,3405,6.5,1148.0,1112.5,1125.0,1128.5,1130.25,1126.75,3.5,True
TATACOMM,2024-03-15 09:15:00,3721,5.5,1954.6,1896.55,1933.2,1928.1166666666666,1925.5749999999998,1930.6583333333333,5.083333333333485,True
TATAELXSI,2024-03-15 09:15:00,3411,10.0,7825.0,7600.0,7711.0,7712.0,7712.5,7711.5,1.0,True
TATAPOWER,2024-03-15 09:15:00,3426,2.55,388.0,372.0,380.6,380.2,380.0,380.4,0.39999999999997726,True
TATASTEEL,2024-03-15 09:15:00,3499,0.35,143.7,139.85,141.8,141.78333333333333,141.77499999999998,141.79166666666669,0.016666666666708352,True
TECHM,2024-03-15 09:15:00,13538,2.0,1293.0,1268.5,1278.45,1279.9833333333333,1280.75,1279.2166666666667,1.533333333333303,True
RAMCOCEM,2024-03-15 09:15:00,2043,2.45,809.0,792.7,802.0,801.2333333333332,800.85,801.6166666666664,0.7666666666664241,True
TITAN,2024-03-15 09:15:00,3506,8.0,3655.95,3610.0,3638.05,3634.6666666666665,3632.975,3636.358333333333,3.383333333333212,True
TRENT,2024-03-15 09:15:00,1964,20.0,4145.0,3981.25,4055.95,4060.7333333333336,4063.125,4058.341666666667,4.783333333332848,True
WIPRO,2024-03-15 09:15:00,3787,1.8,518.25,506.4,515.0,513.2166666666667,512.325,514.1083333333333,1.783333333333303,True
